#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
2515719	3634999	3638659	1217875	1221612	C1_10150W_A	C3_07020W_A	WOR1	SSN6	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	CaO6.8833|C3_07020W|IPF5957.1|CYC8|CaO19.14090|CAWG_03010|CA5907|CaO19.6798|C3_07020W_B|orf6.8833|orf19.6798|Contig4-2796_0009|IPF20461.1|orf19.14090	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515720	3634999	3644653	1217875	1227747	C1_10150W_A	C1_04300C_A	WOR1	SSA2	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	CaO19.8667|CA2857|IPF7060.2|orf19.1065|SSA1|IPF26247.1|C1_04300C|orf6.4924|Contig4-2688_0009|orf19.8667|CaO6.4924|CaO19.1065|HS72|CAWG_00963|C1_04300C_B|Contig4-2688_0006	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515721	3634999	3640084	1217875	1223094	C1_10150W_A	CR_01620C_A	WOR1	MET6	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	orf6.1715|orf19.2551|IPF11555.2|CA0653|CaO6.1715|CR_01620C_B|CaO19.10083|orf19.10083|CR_01620C|CaO19.2551|IPF29050.1|METE|CAWG_01512|Contig4-2742_0001	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515722	3634999	3638587	1217875	1221618	C1_10150W_A	C3_07560W_A	WOR1	TCC1	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	C3_07560W_B|CaO6.6883|orf6.6883|orf19.14026|orf19.6734|CAWG_03062|CaO19.14026|CA4358|IPF6067|IPF6067.1|IPF20318.1|CaO19.6734|C3_07560W|Contig4-3034_0002	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515723	3634999	-	1217875	4349991	C1_10150W_A	C4_01700C_A	WOR1	NHP6A	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	CAWG_03623|IPF10163.1|orf19.4623.3|IPF22703.1|C4_01700C|CaO19.4623.3|C4_01700C_B|Contig4-2945_0015|CA5185	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515724	3634999	-	1217875	4350074	C1_10150W_A	C5_04590C_A	WOR1	RPL43A	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	CaO19.3942.1|IPF20087.1|CA1637|RPL43A.3|IPF23373.1|Contig4-2929_0019|orf19.3942.1|C5_04590C_B|C5_04590C	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515725	3634999	3637357	1217875	1220406	C1_10150W_A	C2_04220C_A	WOR1	TAF14	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	CA0331|orf19.798|orf6.1138|IPF26447.1|CaO19.8418|C2_04220C|CAWG_04178|CaO6.1138|Contig4-2905_0019|orf19.8418|ANC1|C2_04220C_B|CaO19.798|IPF5074.1	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515726	3634999	3641015	1217875	1224030	C1_10150W_A	CR_04510W_A	WOR1	HXK2	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	CaO6.6754|HXK2.3f|orf6.6754|IPF29795.1|CaO19.8176|CA0127|Contig4-2548_0007|CR_04510W|orf6.598|CaO6.598|CAWG_01786|orf19.542|CR_04510W_B|CaO19.542|IPF4286.2|orf19.8176	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515727	3634999	-	1217875	4350096	C1_10150W_A	C7_03180C_A	WOR1	HHO1	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	C7_03180C_B|Contig4-2447_0016|C7_03180C|IPF19995.1|IPF22037.1|CaO19.5137.1|CAWG_05651|CaJ7.0366|orf19.5137.1	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
2515728	3634999	3643438	1217875	1226503	C1_10150W_A	C2_05460W_A	WOR1	CDC19	TOS9|CA1512|CAWG_00418|IPF15255.2|CaO19.12348|orf6.3050|IPF15255|orf19.12348|YEL007W|CaO6.3050|C1_10150W_B|CaO19.4884|IPF22376.1|orf19.4884|EAP2|C1_10150W|Contig4-2464_0001	orf19.11059|CA3483|IPF23718.1|PYK|PYK1|CAWG_04294|C2_05460W_B|C2_05460W|orf6.5754|orf19.3575|CaO19.3575|IPF19988.1|CaO19.11059|CaO6.5754|Contig4-3023_0003|Contig4-3023_0002	Affinity Capture-MS	physical	Alkafeef SS (2018)	29337983	237561	237561	High Throughput	-	-	-	-	-	BIOGRID
