#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
1519980	79923	9112	123000	114562	-	-	NANOG	MTA1	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519981	79923	9219	123000	114652	-	-	NANOG	MTA2	-	MTA1L1|PID	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519982	79923	57504	123000	121568	-	hCG_1783907	NANOG	MTA3	-	-	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519983	79923	94025	123000	125094	-	-	NANOG	MUC16	-	CA125	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519984	79923	4595	123000	110681	-	RP4-534D1.2	NANOG	MUTYH	-	MYH	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519985	79923	80218	123000	123185	-	-	NANOG	NAA50	-	MAK3|NAT13|NAT13P|NAT5|NAT5P|SAN|hNAT5|hSAN	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519986	79923	4683	123000	110763	-	-	NANOG	NBN	-	AT-V1|AT-V2|ATV|NBS|NBS1|P95	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519987	79923	9918	123000	115246	-	-	NANOG	NCAPD2	-	CAP-D2|CNAP1|hCAP-D2	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519988	79923	23310	123000	116902	-	-	NANOG	NCAPD3	-	CAP-D3|CAPD3|hCAP-D3|hHCP-6|hcp-6	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
1519989	79923	9612	123000	114974	-	-	NANOG	NCOR2	-	CTG26|N-CoR2|SMAP270|SMRT|SMRTE|SMRTE-tau|TNRC14|TRAC|TRAC-1|TRAC1	Affinity Capture-MS	physical	Oliviero G (2015)	26687479	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
