#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
3734280	203228	2747	128456	109009	-	-	C9orf72	GLUD2	ALSFTD|FTDALS	GDH2|GLUDP1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734281	203228	9588	128456	114956	-	-	C9orf72	PRDX6	ALSFTD|FTDALS	1-Cys|AOP2|HEL-S-128m|NSGPx|PRX|aiPLA2|p29	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734282	203228	51622	128456	119643	-	CGI-43	C9orf72	CCZ1	ALSFTD|FTDALS	C7orf28A|CCZ1A|H_DJ1163J12.2	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734283	203228	221960	128456	128773	-	-	C9orf72	CCZ1B	ALSFTD|FTDALS	C7orf28B|H_NH0577018.2	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734284	203228	1778	128456	108117	-	-	C9orf72	DYNC1H1	ALSFTD|FTDALS	DHC1|DHC1a|DNCH1|DNCL|DNECL|DYHC|Dnchc1|HL-3|SMALED1|p22	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734285	203228	6748	128456	112626	-	-	C9orf72	SSR4	ALSFTD|FTDALS	CDG1Y|TRAPD	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734286	203228	2235	128456	108526	-	-	C9orf72	FECH	ALSFTD|FTDALS	EPP|FCE	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734287	203228	55183	128456	120482	-	-	C9orf72	RIF1	ALSFTD|FTDALS	-	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734288	203228	114971	128456	125402	-	PNAS-129	C9orf72	PTPMT1	ALSFTD|FTDALS	DUSP23|MOSP|PLIP	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734289	203228	10642	128456	115886	-	-	C9orf72	IGF2BP1	ALSFTD|FTDALS	CRD-BP|CRDBP|IMP-1|IMP1|VICKZ1|ZBP1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734290	203228	8148	128456	113807	-	-	C9orf72	TAF15	ALSFTD|FTDALS	Npl3|RBP56|TAF2N|TAFII68	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734291	203228	1718	128456	108064	-	-	C9orf72	DHCR24	ALSFTD|FTDALS	DCE|Nbla03646|SELADIN1|seladin-1	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734292	203228	23193	128456	116802	-	-	C9orf72	GANAB	ALSFTD|FTDALS	G2AN|GLUII	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734293	203228	6432	128456	112330	-	-	C9orf72	SRSF7	ALSFTD|FTDALS	9G8|AAG3|SFRS7	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734294	203228	84245	128456	123973	-	UNQ6390/PRO21135	C9orf72	MRI1	ALSFTD|FTDALS	MRDI|MTNA|Ypr118w	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734295	203228	4705	128456	110785	-	-	C9orf72	NDUFA10	ALSFTD|FTDALS	CI-42KD|CI-42k	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734296	203228	29896	128456	118948	-	-	C9orf72	TRA2A	ALSFTD|FTDALS	AWMS1|HSU53209	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
3734297	203228	8458	128456	114036	-	-	C9orf72	TTF2	ALSFTD|FTDALS	HuF2|ZGRF6	Affinity Capture-MS	physical	Juelg J (2023)	37317656	9606	9606	Low Throughput|High Throughput	-	-	-	-	-	BIOGRID
